epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
163,22154.7,0.68875,0.95968,1.13568,0.87867,0.80181,0.85335,0.70565,0.70607,0.7897,1.15535,0.004654,0.004654,0.004654
164,22289.7,0.68771,0.9461,1.13458,0.87989,0.79938,0.85338,0.70501,0.70572,0.78959,1.15481,0.004621,0.004621,0.004621
165,22424.4,0.6843,0.9402,1.13237,0.87667,0.80421,0.85377,0.70607,0.70535,0.78857,1.15456,0.004588,0.004588,0.004588
166,22558.6,0.68587,0.94776,1.13201,0.87783,0.79995,0.85305,0.7051,0.70522,0.78844,1.15433,0.004555,0.004555,0.004555
167,22693.1,0.68553,0.94263,1.13385,0.87596,0.80124,0.85312,0.7055,0.70484,0.7887,1.15389,0.004522,0.004522,0.004522
168,22828.2,0.68549,0.93582,1.13301,0.87344,0.80363,0.85281,0.70573,0.705,0.78779,1.15394,0.004489,0.004489,0.004489
169,22962.6,0.68779,0.94133,1.1288,0.87386,0.80816,0.85283,0.70527,0.70471,0.78742,1.15352,0.004456,0.004456,0.004456
170,23096.9,0.67559,0.92935,1.12247,0.87431,0.80269,0.85229,0.70513,0.70466,0.787,1.15371,0.004423,0.004423,0.004423
171,23231.3,0.6786,0.92809,1.12589,0.87341,0.80524,0.85156,0.70706,0.70447,0.78652,1.15373,0.00439,0.00439,0.00439
172,23366.1,0.67309,0.92856,1.12554,0.87367,0.80535,0.85169,0.70669,0.70443,0.78553,1.1539,0.004357,0.004357,0.004357
173,23500.3,0.67821,0.93151,1.12324,0.87168,0.80753,0.85196,0.70668,0.70437,0.78493,1.1537,0.004324,0.004324,0.004324
174,23634.1,0.67688,0.92235,1.12495,0.86731,0.81058,0.85246,0.70667,0.70401,0.7839,1.15323,0.004291,0.004291,0.004291
175,23768.6,0.67104,0.92282,1.125,0.86706,0.81248,0.85237,0.7067,0.70381,0.78368,1.15292,0.004258,0.004258,0.004258
176,23902.4,0.67619,0.92491,1.12531,0.86686,0.81284,0.85242,0.70766,0.7036,0.78357,1.1526,0.004225,0.004225,0.004225
177,24037.7,0.66993,0.92003,1.12246,0.86667,0.81295,0.85252,0.70698,0.70317,0.78302,1.15201,0.004192,0.004192,0.004192
178,24172.7,0.67896,0.9143,1.12682,0.86701,0.81275,0.85271,0.70772,0.7029,0.78285,1.15196,0.004159,0.004159,0.004159
179,24307.7,0.67329,0.91711,1.12276,0.86662,0.81312,0.85261,0.70851,0.70267,0.78231,1.15181,0.004126,0.004126,0.004126
180,24443.5,0.67495,0.9087,1.12318,0.86801,0.81212,0.85283,0.70944,0.70222,0.78223,1.15145,0.004093,0.004093,0.004093
181,24577.8,0.66697,0.90504,1.11807,0.87057,0.81082,0.85297,0.70947,0.70221,0.78187,1.15149,0.00406,0.00406,0.00406
182,24715.1,0.67659,0.92624,1.12374,0.87011,0.81002,0.85327,0.7099,0.70199,0.78149,1.15143,0.004027,0.004027,0.004027
183,24852,0.66796,0.90303,1.12037,0.87166,0.80949,0.85287,0.7105,0.70138,0.78145,1.15052,0.003994,0.003994,0.003994
184,24988.1,0.67035,0.91123,1.11997,0.8706,0.81158,0.85316,0.71063,0.70062,0.78098,1.14986,0.003961,0.003961,0.003961
185,25123.2,0.6672,0.90544,1.11891,0.87055,0.81079,0.85337,0.71114,0.69991,0.7809,1.14916,0.003928,0.003928,0.003928
186,25258,0.66846,0.89991,1.12123,0.87085,0.80934,0.85343,0.7115,0.70003,0.78086,1.14915,0.003895,0.003895,0.003895
187,25392.3,0.66435,0.88699,1.11433,0.87016,0.81138,0.85355,0.71149,0.69972,0.78058,1.14904,0.003862,0.003862,0.003862
188,25527.5,0.66246,0.87995,1.11277,0.87308,0.81224,0.85385,0.71153,0.69936,0.78032,1.14864,0.003829,0.003829,0.003829
